symbol,id
BTC,1
ETH,279
ETC,453
XRP,15458
BCH,15774
QTUM,684
BTG,1043
EOS,15771
ICX,1060
TRX,1094
ELF,1371
OMG,776
KNC,14899
GLM,542
ZIL,2687
WAXP,1372
POWR,1104
LRC,913
STEEM,398
STRAX,531
ZRX,863
REP,309
SNT,779
ADA,15455
CTXC,3861
BAT,677
THETA,2538
LOOM,14735
WAVES,24388
LINK,877
ENJ,1102
VET,1167
MTL,763
IOST,2523
QKC,3849
ATOLO,21028
AMO,4009
BSV,6799
ORBS,4630
TFUEL,8029
VALOR,7231
CON,19834
ANKR,4324
MIX,26992
CRO,7310
FX,8186
CHR,5000
MBL,8460
MXC,4604
FCT2,9892
TRV,25619
WOM,26946
BOA,9202
MEV,24566
SXP,9368
COS,8379
EL,10887
BASIC,11050
HIVE,10840
XPR,10941
VRA,14025
FIT,9690
EGG,21811
BORA,7646
ARPA,8506
CTC,10569
APM,10069
CKB,9566
AERGO,4490
CENNZ,3408
EVZ,9456
SRM,11970
QTCON,8208
UNI,9383
YFI,11849
UMA,10951
AAVE,12645
COMP,3570
REN,3139
BAL,11683
RSR,8365
NMR,752
RLC,646
UOS,4480
SAND,12316
STPT,8713
GOM2,10374
BEL,12478
OBSR,7474
ORC,28003
POLA,13817
ADP,14203
DVI,13020
GHX,14714
MVC,13146
BLY,12095
WOZX,13310
ANV,16348
GRT,26269
BIOT,14167
XNO,756
SNX,3406
SOFI,14686
GRACY,29330
OXT,3916
LINA,5412
MAP,25476
AQT,12872
PLA,9279
WIKEN,9182
CTSI,11038
MANA,878
LPT,7137
MKR,1364
SUSHI,12271
ASM,23271
PUNDIX,14571
CELR,4379
ARW,17114
FRONT,12479
RLY,12843
OCEAN,3687
BFC,4639
ALICE,14375
OGN,3296
COTI,2962
CAKE,12632
BNT,736
XVS,12677
SWAP,18961
CHZ,8834
AXS,13029
DAO,13915
SIX,3769
DAI,9956
SHIB,11939
MATIC,4713
WOO,12921
ACH,12390
VELO,12538
XLM,100
WICC,2439
ONT,18559
META,27723
KLAY,9672
ONG,5716
ALGO,4380
JST,11095
XTZ,976
MLK,11978
DOT,15457
ATOM,1481
SSX,10089
TEMCO,6210
DOGE,15768
KSM,9568
CTK,12944
XYM,14411
BNB,825
NFT,15687
SUN,24832
XEC,16646
SOL,4128
LN,6450
EGLD,12335
GO,3286
DFA,17579
C98,17117
MED,1374
1INCH,13469
BOBA,20285
FLOW,13446
GALA,12493
BTT,22457
EFI,16558
JASMY,13876
TITAN,16031
REQ,1031
CSPR,15279
AVAX,12559
TDROP,23319
FANC,26500
NPT,23912
REI,25240
T,28691
MBX,24423
GMT,15662
TAVA,26299
DAR,19837
ALT,16330
XCN,24210
GXA,26505
AZIT,24515
FLR,28624
SFP,13905
FITFI,25015
STAT,26602
CRTS,17322
VIX,29085
LBL,19202
FLZ,26169
LM,25761
APT,26455
BLUR,28453
HOOK,28288
ONIT,12252
OP,25244
XPLA,27925
ARB,16547
INJ,12882
RPL,2090
NEO,480
XEM,242
LSK,385
ARDR,525
ARK,613
STORJ,949
GRS,24810
SBD,652
SC,27338
POLYX,23496
RFR,2102
CVC,788
IQ,5010
IOTA,692
HIFI,28712
GAS,858
UPP,3369
MOC,2374
TT,4375
CRE,3994
HBAR,3688
STMX,1369
DKA,11875
KAVA,9761
AHT,12158
TON,17980
HUNT,29649
MVL,3476
CBK,13459
HUM,4243
STRK,14607
DAWN,11555
STX,2069
NEAR,10365
CELO,11090
MASK,14051
OAS,27909
